시도 구분,시군구 구분,특수진료실 구분1,특수진료실 구분2,병실 수,병상 수
전남,구례군,특수진료실,분만실,0,0
전남,담양군,특수진료실,분만실,0,0
전남,무안군,특수진료실,분만실,1,2
전남,보성군,특수진료실,분만실,0,0
전남,신안군,특수진료실,분만실,0,0
전남,영광군,특수진료실,분만실,1,1
전남,영암군,특수진료실,분만실,0,0
전남,완도군,특수진료실,분만실,1,1
전남,장성군,특수진료실,분만실,0,0
전남,장흥군,특수진료실,분만실,0,0
전남,진도군,특수진료실,분만실,1,2
전남,함평군,특수진료실,분만실,0,0
전남,해남군,특수진료실,분만실,1,1
전남,화순군,특수진료실,분만실,1,1
전남,나주시,특수진료실,분만실,0,0
전남,목포시,특수진료실,분만실,9,11
전남,순천시,특수진료실,분만실,7,11
전남,여수시,특수진료실,분만실,10,16
전남,광양시,특수진료실,분만실,1,1
경북,고령군,특수진료실,분만실,0,0
경북,군위군,특수진료실,분만실,0,0
경북,봉화군,특수진료실,분만실,0,0
경북,성주군,특수진료실,분만실,0,0
경북,영덕군,특수진료실,분만실,0,0
경북,영양군,특수진료실,분만실,0,0
경북,예천군,특수진료실,분만실,1,1
경북,울릉군,특수진료실,분만실,1,1
경북,울진군,특수진료실,분만실,1,1
경북,의성군,특수진료실,분만실,0,0
경북,청도군,특수진료실,분만실,0,0
경북,청송군,특수진료실,분만실,1,1
경북,칠곡군,특수진료실,분만실,1,1
경북,경주시,특수진료실,분만실,8,14
경북,구미시,특수진료실,분만실,11,26
경북,김천시,특수진료실,분만실,3,5
경북,안동시,특수진료실,분만실,6,10
경북,영주시,특수진료실,분만실,3,4
경북,영천시,특수진료실,분만실,1,1
경북,포항시 남구,특수진료실,분만실,5,9
경북,포항시 북구,특수진료실,분만실,5,12
경북,문경시,특수진료실,분만실,0,0
경북,상주시,특수진료실,분만실,4,7
경북,경산시,특수진료실,분만실,2,6
경남,거창군,특수진료실,분만실,1,2
경남,고성군,특수진료실,분만실,0,0
경남,남해군,특수진료실,분만실,0,0
경남,산청군,특수진료실,분만실,0,0
경남,의령군,특수진료실,분만실,0,0
경남,창녕군,특수진료실,분만실,0,0
경남,하동군,특수진료실,분만실,1,1
경남,함안군,특수진료실,분만실,0,0
경남,함양군,특수진료실,분만실,0,0
경남,합천군,특수진료실,분만실,0,0
경남,김해시,특수진료실,분만실,12,16
경남,사천시,특수진료실,분만실,0,0
경남,진주시,특수진료실,분만실,15,19
경남,창원시 마산회원구,특수진료실,분만실,4,10
경남,창원시 마산합포구,특수진료실,분만실,4,13
경남,창원시 진해구,특수진료실,분만실,5,5
경남,창원시 의창구,특수진료실,분만실,5,12
경남,창원시 성산구,특수진료실,분만실,6,20
경남,통영시,특수진료실,분만실,4,4
경남,밀양시,특수진료실,분만실,3,5
경남,거제시,특수진료실,분만실,7,10
경남,양산시,특수진료실,분만실,7,11
제주,서귀포시,특수진료실,분만실,2,2
제주,제주시,특수진료실,분만실,11,21
서울,강남구,특수진료실,신생아실,10,143
서울,강동구,특수진료실,신생아실,5,47
서울,강서구,특수진료실,신생아실,6,92
서울,관악구,특수진료실,신생아실,5,22
서울,구로구,특수진료실,신생아실,6,57
서울,도봉구,특수진료실,신생아실,3,44
서울,동대문구,특수진료실,신생아실,8,41
서울,동작구,특수진료실,신생아실,3,29
서울,마포구,특수진료실,신생아실,5,12
서울,서대문구,특수진료실,신생아실,2,25
서울,성동구,특수진료실,신생아실,2,21
서울,성북구,특수진료실,신생아실,4,26
서울,영등포구,특수진료실,신생아실,8,71
서울,용산구,특수진료실,신생아실,3,11
서울,은평구,특수진료실,신생아실,3,43
서울,종로구,특수진료실,신생아실,3,45
서울,중구,특수진료실,신생아실,5,106
서울,송파구,특수진료실,신생아실,5,45
서울,중랑구,특수진료실,신생아실,6,95
서울,양천구,특수진료실,신생아실,11,61
서울,서초구,특수진료실,신생아실,3,21
서울,노원구,특수진료실,신생아실,4,75
서울,광진구,특수진료실,신생아실,4,53
서울,강북구,특수진료실,신생아실,3,62
서울,금천구,특수진료실,신생아실,4,33
부산,남구,특수진료실,신생아실,2,23
부산,동구,특수진료실,신생아실,3,75
부산,동래구,특수진료실,신생아실,7,142
부산,진구,특수진료실,신생아실,6,68
부산,북구,특수진료실,신생아실,3,32
부산,서구,특수진료실,신생아실,7,48
부산,영도구,특수진료실,신생아실,1,20
부산,중구,특수진료실,신생아실,2,2
부산,해운대구,특수진료실,신생아실,3,46
부산,사하구,특수진료실,신생아실,3,77
부산,금정구,특수진료실,신생아실,2,32
부산,강서구,특수진료실,신생아실,0,0
부산,연제구,특수진료실,신생아실,4,42
부산,수영구,특수진료실,신생아실,3,17
부산,사상구,특수진료실,신생아실,1,5
부산,기장군,특수진료실,신생아실,3,40
대구,남구,특수진료실,신생아실,2,15
대구,동구,특수진료실,신생아실,3,8
대구,북구,특수진료실,신생아실,5,107
대구,서구,특수진료실,신생아실,1,13
대구,수성구,특수진료실,신생아실,6,128
대구,중구,특수진료실,신생아실,3,26
대구,달서구,특수진료실,신생아실,5,92
대구,달성군,특수진료실,신생아실,1,15
인천,미추홀구,특수진료실,신생아실,7,123
인천,동구,특수진료실,신생아실,1,1
인천,부평구,특수진료실,신생아실,7,86
인천,중구,특수진료실,신생아실,4,36
인천,서구,특수진료실,신생아실,6,36
인천,남동구,특수진료실,신생아실,5,57
인천,연수구,특수진료실,신생아실,1,1
인천,계양구,특수진료실,신생아실,5,57
인천,강화군,특수진료실,신생아실,0,0
인천,옹진군,특수진료실,신생아실,0,0
광주,동구,특수진료실,신생아실,2,17
광주,북구,특수진료실,신생아실,4,19
광주,서구,특수진료실,신생아실,2,75
광주,광산구,특수진료실,신생아실,5,35
광주,남구,특수진료실,신생아실,2,45
대전,유성구,특수진료실,신생아실,5,86
대전,대덕구,특수진료실,신생아실,3,31
대전,서구,특수진료실,신생아실,8,205
대전,동구,특수진료실,신생아실,10,19
대전,중구,특수진료실,신생아실,5,27
울산,남구,특수진료실,신생아실,10,208
울산,동구,특수진료실,신생아실,2,25
울산,중구,특수진료실,신생아실,2,51
울산,북구,특수진료실,신생아실,0,0
울산,울주군,특수진료실,신생아실,0,0
세종,세종시,특수진료실,신생아실,5,5
경기,가평군,특수진료실,신생아실,0,0
경기,양평군,특수진료실,신생아실,1,9
경기,여주시,특수진료실,신생아실,1,6
경기,연천군,특수진료실,신생아실,0,0
경기,광명시,특수진료실,신생아실,6,65
경기,동두천시,특수진료실,신생아실,2,7
경기,부천시,특수진료실,신생아실,10,117
경기,성남시 수정구,특수진료실,신생아실,4,4
경기,성남시 중원구,특수진료실,신생아실,2,3
경기,성남시 분당구,특수진료실,신생아실,7,128
경기,수원시 권선구,특수진료실,신생아실,6,68
경기,수원시 장안구,특수진료실,신생아실,4,22
경기,수원시 팔달구,특수진료실,신생아실,6,62
경기,수원시 영통구,특수진료실,신생아실,3,40
경기,안양시 만안구,특수진료실,신생아실,4,38
경기,안양시 동안구,특수진료실,신생아실,4,76
경기,의정부시,특수진료실,신생아실,4,57
경기,과천시,특수진료실,신생아실,0,0
경기,구리시,특수진료실,신생아실,5,26
경기,안산시 단원구,특수진료실,신생아실,8,113
경기,안산시 상록구,특수진료실,신생아실,2,21
경기,평택시,특수진료실,신생아실,6,99
경기,하남시,특수진료실,신생아실,0,0
경기,군포시,특수진료실,신생아실,3,6
경기,남양주시,특수진료실,신생아실,20,58
경기,의왕시,특수진료실,신생아실,0,0
경기,시흥시,특수진료실,신생아실,6,49
경기,오산시,특수진료실,신생아실,3,37
경기,고양시 덕양구,특수진료실,신생아실,6,9
경기,고양시 일산 서구,특수진료실,신생아실,2,6
경기,고양시 일산 동구,특수진료실,신생아실,7,102
경기,용인기흥구,특수진료실,신생아실,2,2
경기,용인수지구,특수진료실,신생아실,3,32
경기,용인처인구,특수진료실,신생아실,4,12
경기,이천시,특수진료실,신생아실,3,3
경기,파주시,특수진료실,신생아실,0,0
경기,김포시,특수진료실,신생아실,6,73
경기,안성시,특수진료실,신생아실,1,1
경기,화성시,특수진료실,신생아실,9,101
경기,광주시,특수진료실,신생아실,3,16
경기,양주시,특수진료실,신생아실,1,1
경기,포천시,특수진료실,신생아실,2,19
강원,고성군,특수진료실,신생아실,0,0
강원,양구군,특수진료실,신생아실,0,0
강원,양양군,특수진료실,신생아실,0,0
강원,영월군,특수진료실,신생아실,0,0
강원,인제군,특수진료실,신생아실,0,0
강원,정선군,특수진료실,신생아실,0,0
강원,철원군,특수진료실,신생아실,0,0
강원,평창군,특수진료실,신생아실,0,0
강원,홍천군,특수진료실,신생아실,1,8
강원,화천군,특수진료실,신생아실,0,0
강원,횡성군,특수진료실,신생아실,0,0
강원,강릉시,특수진료실,신생아실,5,52
강원,동해시,특수진료실,신생아실,1,1
강원,속초시,특수진료실,신생아실,2,7
강원,원주시,특수진료실,신생아실,5,21
강원,춘천시,특수진료실,신생아실,7,63
강원,태백시,특수진료실,신생아실,2,6
강원,삼척시,특수진료실,신생아실,1,5
충북,괴산군,특수진료실,신생아실,0,0
충북,단양군,특수진료실,신생아실,0,0
충북,보은군,특수진료실,신생아실,0,0
충북,영동군,특수진료실,신생아실,1,5
충북,옥천군,특수진료실,신생아실,1,6
충북,음성군,특수진료실,신생아실,0,0
충북,진천군,특수진료실,신생아실,1,1
충북,증평군,특수진료실,신생아실,0,0
충북,청주시 상당구,특수진료실,신생아실,4,17
충북,청주시 흥덕구,특수진료실,신생아실,4,14
충북,청주시 청원구,특수진료실,신생아실,3,59
충북,청주시 서원구,특수진료실,신생아실,8,108
충북,충주시,특수진료실,신생아실,2,14
충북,제천시,특수진료실,신생아실,3,25
충남,금산군,특수진료실,신생아실,0,0
충남,당진시,특수진료실,신생아실,0,0
충남,부여군,특수진료실,신생아실,0,0
충남,서천군,특수진료실,신생아실,0,0
충남,예산군,특수진료실,신생아실,0,0
충남,청양군,특수진료실,신생아실,0,0
충남,홍성군,특수진료실,신생아실,1,10
충남,태안군,특수진료실,신생아실,0,0
충남,천안시 서북구,특수진료실,신생아실,50,126
충남,천안시 동남구,특수진료실,신생아실,3,19
충남,공주시,특수진료실,신생아실,2,10
충남,보령시,특수진료실,신생아실,1,6
충남,아산시,특수진료실,신생아실,5,64
충남,서산시,특수진료실,신생아실,3,31
충남,논산시,특수진료실,신생아실,3,26
충남,계룡시,특수진료실,신생아실,0,0
전북,고창군,특수진료실,신생아실,1,7
전북,무주군,특수진료실,신생아실,0,0
전북,부안군,특수진료실,신생아실,1,1
전북,순창군,특수진료실,신생아실,0,0
전북,완주군,특수진료실,신생아실,0,0
전북,임실군,특수진료실,신생아실,0,0
전북,장수군,특수진료실,신생아실,0,0
전북,진안군,특수진료실,신생아실,0,0
전북,군산시,특수진료실,신생아실,5,44
전북,남원시,특수진료실,신생아실,2,7
전북,익산시,특수진료실,신생아실,8,104
전북,전주시 완산구,특수진료실,신생아실,6,72
전북,전주시 덕진구,특수진료실,신생아실,6,115
전북,정읍시,특수진료실,신생아실,3,6
전북,김제시,특수진료실,신생아실,2,26
전남,강진군,특수진료실,신생아실,1,10
전남,고흥군,특수진료실,신생아실,1,3
전남,곡성군,특수진료실,신생아실,0,0
전남,구례군,특수진료실,신생아실,0,0
전남,담양군,특수진료실,신생아실,0,0
전남,무안군,특수진료실,신생아실,1,4
전남,보성군,특수진료실,신생아실,0,0
전남,신안군,특수진료실,신생아실,0,0
전남,영광군,특수진료실,신생아실,1,1
전남,영암군,특수진료실,신생아실,0,0
전남,완도군,특수진료실,신생아실,0,0
전남,장성군,특수진료실,신생아실,0,0
전남,장흥군,특수진료실,신생아실,0,0
전남,진도군,특수진료실,신생아실,0,0
전남,함평군,특수진료실,신생아실,0,0
전남,해남군,특수진료실,신생아실,1,3
전남,화순군,특수진료실,신생아실,1,1
전남,나주시,특수진료실,신생아실,0,0
전남,목포시,특수진료실,신생아실,3,42
전남,순천시,특수진료실,신생아실,3,32
전남,여수시,특수진료실,신생아실,7,67
전남,광양시,특수진료실,신생아실,1,14
경북,고령군,특수진료실,신생아실,0,0
경북,군위군,특수진료실,신생아실,0,0
경북,봉화군,특수진료실,신생아실,0,0
경북,성주군,특수진료실,신생아실,0,0
경북,영덕군,특수진료실,신생아실,0,0
경북,영양군,특수진료실,신생아실,0,0
경북,예천군,특수진료실,신생아실,1,5
경북,울릉군,특수진료실,신생아실,0,0
경북,울진군,특수진료실,신생아실,1,1
경북,의성군,특수진료실,신생아실,0,0
경북,청도군,특수진료실,신생아실,0,0
경북,청송군,특수진료실,신생아실,0,0
경북,칠곡군,특수진료실,신생아실,0,0
경북,경주시,특수진료실,신생아실,5,22
경북,구미시,특수진료실,신생아실,7,76
경북,김천시,특수진료실,신생아실,2,16
경북,안동시,특수진료실,신생아실,5,107
경북,영주시,특수진료실,신생아실,2,5
경북,영천시,특수진료실,신생아실,1,9
경북,포항시 남구,특수진료실,신생아실,8,27
경북,포항시 북구,특수진료실,신생아실,4,69
경북,문경시,특수진료실,신생아실,1,1
경북,상주시,특수진료실,신생아실,3,21
경북,경산시,특수진료실,신생아실,2,35
경남,거창군,특수진료실,신생아실,1,5
경남,고성군,특수진료실,신생아실,0,0
경남,남해군,특수진료실,신생아실,0,0
경남,산청군,특수진료실,신생아실,0,0
경남,의령군,특수진료실,신생아실,0,0
경남,창녕군,특수진료실,신생아실,0,0
경남,하동군,특수진료실,신생아실,1,3
경남,함안군,특수진료실,신생아실,0,0
경남,함양군,특수진료실,신생아실,0,0
경남,합천군,특수진료실,신생아실,0,0
경남,김해시,특수진료실,신생아실,8,92
경남,사천시,특수진료실,신생아실,1,6
경남,진주시,특수진료실,신생아실,5,95
경남,창원시 마산회원구,특수진료실,신생아실,2,20
경남,창원시 마산합포구,특수진료실,신생아실,3,70
경남,창원시 진해구,특수진료실,신생아실,3,33
경남,창원시 의창구,특수진료실,신생아실,3,61
경남,창원시 성산구,특수진료실,신생아실,3,61
경남,통영시,특수진료실,신생아실,2,31
경남,밀양시,특수진료실,신생아실,2,11
경남,거제시,특수진료실,신생아실,3,23
경남,양산시,특수진료실,신생아실,4,19
제주,서귀포시,특수진료실,신생아실,1,3
제주,제주시,특수진료실,신생아실,10,62
서울,강남구,특수진료실,수술실,659,679
서울,강동구,특수진료실,수술실,86,84
서울,강서구,특수진료실,수술실,94,101
서울,관악구,특수진료실,수술실,48,48
서울,구로구,특수진료실,수술실,39,38
서울,도봉구,특수진료실,수술실,26,29
서울,동대문구,특수진료실,수술실,70,70
서울,동작구,특수진료실,수술실,45,45
서울,마포구,특수진료실,수술실,26,24
서울,서대문구,특수진료실,수술실,82,84
서울,성동구,특수진료실,수술실,35,34
서울,성북구,특수진료실,수술실,65,67
서울,영등포구,특수진료실,수술실,105,121
서울,용산구,특수진료실,수술실,23,23
서울,은평구,특수진료실,수술실,38,39
서울,종로구,특수진료실,수술실,81,91
서울,중구,특수진료실,수술실,46,53
서울,송파구,특수진료실,수술실,139,139
서울,중랑구,특수진료실,수술실,64,66
서울,양천구,특수진료실,수술실,48,51
서울,서초구,특수진료실,수술실,185,185
서울,노원구,특수진료실,수술실,53,68
서울,광진구,특수진료실,수술실,59,54
서울,강북구,특수진료실,수술실,44,47
서울,금천구,특수진료실,수술실,28,28
부산,남구,특수진료실,수술실,21,21
부산,동구,특수진료실,수술실,36,36
부산,동래구,특수진료실,수술실,56,60
부산,진구,특수진료실,수술실,117,119
부산,북구,특수진료실,수술실,29,32
부산,서구,특수진료실,수술실,72,72
부산,영도구,특수진료실,수술실,9,9
부산,중구,특수진료실,수술실,18,18
부산,해운대구,특수진료실,수술실,98,98
부산,사하구,특수진료실,수술실,40,44
부산,금정구,특수진료실,수술실,27,34
부산,강서구,특수진료실,수술실,4,4
부산,연제구,특수진료실,수술실,35,35
부산,수영구,특수진료실,수술실,34,35
부산,사상구,특수진료실,수술실,19,25
부산,기장군,특수진료실,수술실,23,23
대구,남구,특수진료실,수술실,48,49
대구,동구,특수진료실,수술실,33,38
대구,북구,특수진료실,수술실,53,54
대구,서구,특수진료실,수술실,20,24
대구,수성구,특수진료실,수술실,46,45
대구,중구,특수진료실,수술실,134,137
대구,달서구,특수진료실,수술실,85,86
대구,달성군,특수진료실,수술실,17,17
인천,미추홀구,특수진료실,수술실,46,46
인천,동구,특수진료실,수술실,22,22
인천,부평구,특수진료실,수술실,68,68
인천,중구,특수진료실,수술실,20,27
인천,서구,특수진료실,수술실,62,63
인천,남동구,특수진료실,수술실,78,82
인천,연수구,특수진료실,수술실,18,25
인천,계양구,특수진료실,수술실,33,37
인천,강화군,특수진료실,수술실,7,7
인천,옹진군,특수진료실,수술실,1,1
광주,동구,특수진료실,수술실,58,57
광주,북구,특수진료실,수술실,93,81
광주,서구,특수진료실,수술실,135,138
광주,광산구,특수진료실,수술실,90,96
광주,남구,특수진료실,수술실,44,47
대전,유성구,특수진료실,수술실,18,18
대전,대덕구,특수진료실,수술실,16,16
대전,서구,특수진료실,수술실,137,141
대전,동구,특수진료실,수술실,26,30
대전,중구,특수진료실,수술실,54,55
울산,남구,특수진료실,수술실,82,82
울산,동구,특수진료실,수술실,23,23
울산,중구,특수진료실,수술실,24,24
울산,북구,특수진료실,수술실,15,15
울산,울주군,특수진료실,수술실,7,7
세종,세종시,특수진료실,수술실,13,13
경기,가평군,특수진료실,수술실,5,6
경기,양평군,특수진료실,수술실,9,10
경기,여주시,특수진료실,수술실,9,9
경기,연천군,특수진료실,수술실,2,2
경기,광명시,특수진료실,수술실,40,43
경기,동두천시,특수진료실,수술실,8,8
경기,부천시,특수진료실,수술실,152,160
경기,성남시 수정구,특수진료실,수술실,26,30
경기,성남시 중원구,특수진료실,수술실,18,19
경기,성남시 분당구,특수진료실,수술실,134,135
경기,수원시 권선구,특수진료실,수술실,43,41
경기,수원시 장안구,특수진료실,수술실,24,27
경기,수원시 팔달구,특수진료실,수술실,88,89
경기,수원시 영통구,특수진료실,수술실,60,61
경기,안양시 만안구,특수진료실,수술실,36,36
경기,안양시 동안구,특수진료실,수술실,73,74
경기,의정부시,특수진료실,수술실,43,49
경기,과천시,특수진료실,수술실,2,2
경기,구리시,특수진료실,수술실,40,40
경기,안산시 단원구,특수진료실,수술실,83,86
경기,안산시 상록구,특수진료실,수술실,26,26
경기,평택시,특수진료실,수술실,70,70
경기,하남시,특수진료실,수술실,13,15
경기,군포시,특수진료실,수술실,17,17
경기,남양주시,특수진료실,수술실,65,61
경기,의왕시,특수진료실,수술실,3,6
경기,시흥시,특수진료실,수술실,41,41
경기,오산시,특수진료실,수술실,38,36
경기,고양시 덕양구,특수진료실,수술실,50,51
경기,고양시 일산 서구,특수진료실,수술실,36,42
경기,고양시 일산 동구,특수진료실,수술실,88,89
경기,용인기흥구,특수진료실,수술실,24,24
경기,용인수지구,특수진료실,수술실,22,23
경기,용인처인구,특수진료실,수술실,14,19
경기,이천시,특수진료실,수술실,39,41
경기,파주시,특수진료실,수술실,42,44
경기,김포시,특수진료실,수술실,50,51
경기,안성시,특수진료실,수술실,21,21
경기,화성시,특수진료실,수술실,73,74
경기,광주시,특수진료실,수술실,23,25
경기,양주시,특수진료실,수술실,9,9
경기,포천시,특수진료실,수술실,20,20
강원,고성군,특수진료실,수술실,0,0
강원,양구군,특수진료실,수술실,3,3
강원,양양군,특수진료실,수술실,0,0
강원,영월군,특수진료실,수술실,5,5
강원,인제군,특수진료실,수술실,2,2
강원,정선군,특수진료실,수술실,3,3
강원,철원군,특수진료실,수술실,3,4
강원,평창군,특수진료실,수술실,3,3
강원,홍천군,특수진료실,수술실,7,9
강원,화천군,특수진료실,수술실,0,0
강원,횡성군,특수진료실,수술실,2,2
강원,강릉시,특수진료실,수술실,32,31
강원,동해시,특수진료실,수술실,16,16
강원,속초시,특수진료실,수술실,17,18
강원,원주시,특수진료실,수술실,75,76
강원,춘천시,특수진료실,수술실,38,46
